senador,legislatura,situacao,bancada_ruralista,partido,estado,profissao
Acir Gurgacz,2015-2023,Reeleito,1,PDT,RO,Empresário
Alvaro Dias,2015-2023,Reeleito,1,PSDB,PR,"Agricultor, Radialista, Professor"
Álvaro Dias,2011-2015,Atual,1,PSDB,PR,"Agricultor, Radialista, Professor"
Benedito de Lira,2011-2015,Novo,1,PP,AL,Advogado
Benedito de Lira,2015-2019,Atual,1,PP,AL,Advogado
Blairo Maggi,2011-2015,Novo,1,PR,MT,Empresário
Blairo Maggi,2015-2019,Atual,1,PR,MT,Empresário
Casildo Maldaner,2011-2015,Atual,1,PMDB,SC,Advogado
Elmano Férrer de Almeida,2015-2023,Novo,1,PTB,PI,"Servidor Público, Advogado, Engenheiro Agrônomo"
Eunício Oliveira,2011-2015,Novo,1,PMDB,CE,Empresário
Eunício Oliveira,2015-2019,Atual,1,PMDB,CE,Empresário
Garibaldi Alves,2011-2015,Atual,1,PMDB,RN,Advogado
Ivo Cassol,2011-2015,Novo,1,PP,RO,"Agropecuarista, Empresário  "
Jayme Campos,2011-2015,Atual,1,DEM,MT,"Agropecuarista, Empresário  "
João Durval,2011-2015,Atual,1,PDT,BA,"Odontólogo, Pecuarista  "
João Vicente Claudino,2011-2015,Atual,1,PTB,PI,Empresário
José Maranhão,2015-2023,Novo,1,PMDB,PB,Empresário
José Sarney,2011-2015,Atual,1,PMDB,AP,"Escritor, Jornalista "
Kátia Abreu,2011-2015,Atual,1,DEM,TO,"Empresária Rural, Psicóloga"
Kátia Abreu,2015-2023,Reeleita,1,PMDB,TO,"Empresária Rural, Psicóloga"
Lúcia Vânia,2011-2015,Reeleita,1,PSDB,GO,"Jornalista, Professora"
Lúcia Vânia,2015-2019,Atual,1,PSDB,GO,"Jornalista, Professora"
Marcelo Miranda,2011-2015,Novo,1,PMDB,TO,Agropecuarista
Mário Couto,2011-2015,Atual,1,PSDB,PA,Administrador
Mozarildo Cavalcanti,2011-2015,Atual,1,PTB,RR,"Médico, Professor"
Otto Alencar,2015-2023,Novo,1,PSD,BA,Médico
Renan Calheiros,2011-2015,Reeleito,1,PMDB,AL,"Advogado, Produtor Rural"
Renan Calheiros,2015-2019,Atual,1,PMDB,AL,"Advogado, Produtor Rural"
Ronaldo Caiado,2015-2023,Novo,1,DEM,GO,"Produtor Rural, Médico, Professor"
Simone Tebet,2015-2023,Nova,1,PMDB,MS,"Advogada, Professora"
Telmário Mota,2015-2023,Novo,1,PDT,RR,Contador
Vicentinho Alves,2011-2019,Atual,1,SD,TO,"Pecuarista, Piloto Comercial"
Vital do Rêgo Filho,2011-2015,Novo,1,PMDB,PB,"Advogado, Médico"
Wellington Fagundes,2015-2023,Novo,1,PR,MT,"Médico Veterinário, Empresário"
Wilder Morais,2011-2019,Atual,1,DEM,GO,"Empresário, Engenheiro Civil"
