"","CodigoMateria","DataApresentacao","AnoMateria","Legislatura","class_tematica","TipoIniciativa","Autor","autor_un","Sexo","partido","uf","regiao"
"1",99124,"2011-02-15",2011,"54ª","Educação Ambiental","Individual","Senador Clésio Andrade (PL/MG)","Clésio Andrade","M","PL","MG","Sudeste"
"2",101350,"2011-08-03",2011,"54ª","Recursos Hídricos","Individual","Senador Antonio Carlos Valadares (PSB/SE)","Antonio Carlos Valadares","M","PSB","SE","Nordeste"
"3",101943,"2011-08-31",2011,"54ª","Resíduos Sólidos","Individual","Senador Jayme Campos (DEM/MT)","Jayme Campos","M","DEM","MT","Centro-Oeste"
"4",103741,"2011-12-13",2011,"54ª","Crimes e Infrações Ambientais","Individual","Senador Rodrigo Rollemberg (PSB/DF)","Rodrigo Rollemberg","M","PSB","DF","Centro-Oeste"
"5",99974,"2011-04-20",2011,"54ª","Conservação da Natureza e Florestas","Individual","Senadora Vanessa Grazziotin (PCdoB/AM)","Vanessa Grazziotin","F","PC","AM","Norte"
"6",100216,"2011-05-12",2011,"54ª","Conservação da Natureza e Florestas","Individual","Senador Luiz Henrique (MDB/SC)","Luiz Henrique","M","MDB","SC","Sul"
"7",103831,"2011-12-20",2011,"54ª","Conservação da Natureza e Florestas","Individual","Senador Blairo Maggi (PL/MT)","Blairo Maggi","M","PL","MT","Centro-Oeste"
"8",102273,"2011-09-13",2011,"54ª","Sustentabilidade e Energias Renováveis","Individual","Senador Clésio Andrade (PL/MG)","Clésio Andrade","M","PL","MG","Sudeste"
"9",100634,"2011-06-09",2011,"54ª","Resíduos Sólidos","Individual","Senador Eduardo Braga (MDB/AM)","Eduardo Braga","M","MDB","AM","Norte"
"10",100779,"2011-06-16",2011,"54ª","Recursos Hídricos","Individual","Senador Francisco Dornelles (PP/RJ)","Francisco Dornelles","M","PP","RJ","Sudeste"
"11",99045,"2011-02-08",2011,"54ª","Conservação da Natureza e Florestas","Individual","Senador Flexa Ribeiro (PSDB/PA)","Flexa Ribeiro","M","PSDB","PA","Norte"
"12",99162,"2011-02-17",2011,"54ª","Sustentabilidade e Energias Renováveis","Individual","Senador Mozarildo Cavalcanti (PTB/RR)","Mozarildo Cavalcanti","M","PTB","RR","Norte"
"13",99828,"2011-04-07",2011,"54ª","Resíduos Sólidos","Individual","Senador Cyro Miranda (PSDB/GO)","Cyro Miranda","M","PSDB","GO","Centro-Oeste"
"14",100082,"2011-05-03",2011,"54ª","Conservação da Natureza e Florestas","Individual","Senador Eduardo Braga (MDB/AM)","Eduardo Braga","M","MDB","AM","Norte"
"15",100378,"2011-05-24",2011,"54ª","Conservação da Natureza e Florestas","Individual","Senador Romero Jucá (MDB/RR)","Romero Jucá","M","MDB","RR","Norte"
"16",101650,"2011-08-17",2011,"54ª","Resíduos Sólidos","Individual","Senador Blairo Maggi (PL/MT)","Blairo Maggi","M","PL","MT","Centro-Oeste"
"17",101947,"2011-08-31",2011,"54ª","Resíduos Sólidos","Individual","Senador Eduardo Amorim (PSC/SE)","Eduardo Amorim","M","PSC","SE","Nordeste"
"18",100948,"2011-06-30",2011,"54ª","Sustentabilidade e Energias Renováveis","Individual","Senador Eduardo Suplicy (PT/SP)","Eduardo Suplicy","M","PT","SP","Sudeste"
"19",101046,"2011-07-06",2011,"54ª","Conservação da Natureza e Florestas","Individual","Senadora Ana Rita (PT/ES)","Ana Rita","F","PT","ES","Sudeste"
"20",98967,"2011-02-03",2011,"54ª","Sustentabilidade e Energias Renováveis","Individual","Senador Magno Malta (PL/ES)","Magno Malta","M","PL","ES","Sudeste"
"21",106866,"2012-08-08",2012,"54ª","Crimes e Infrações Ambientais","Individual","Senador Lindbergh Farias (PT/RJ)","Lindbergh Farias","M","PT","RJ","Sudeste"
"22",105249,"2012-04-25",2012,"54ª","Conservação da Natureza e Florestas","Coletiva","Senador Jorge Viana (PT/AC) e outros.","Jorge Viana","M","PT","AC","Norte"
"23",107084,"2012-08-28",2012,"54ª","Política Fundiária e Reforma Agrária","Individual","Senador Pedro Taques (PDT/MT)","Pedro Taques","M","PDT","MT","Centro-Oeste"
"24",104955,"2012-04-11",2012,"54ª","Conservação da Natureza e Florestas","Individual","Senador Ciro Nogueira (PP/PI)","Ciro Nogueira","M","PP","PI","Nordeste"
"25",105590,"2012-05-16",2012,"54ª","Conservação da Natureza e Florestas","Individual","Senador Ciro Nogueira (PP/PI)","Ciro Nogueira","M","PP","PI","Nordeste"
"26",106048,"2012-06-13",2012,"54ª","Conservação da Natureza e Florestas","Individual","Senador Vital do Rêgo (MDB/PB)","Vital do Rêgo","M","MDB","PB","Nordeste"
"27",107967,"2012-10-16",2012,"54ª","Conservação da Natureza e Florestas","Individual","Senadora Ana Amélia (PP/RS)","Ana Amélia","F","PP","RS","Sul"
"28",105916,"2012-05-31",2012,"54ª","Sustentabilidade e Energias Renováveis","Individual","Senador Paulo Bauer (PSDB/SC)","Paulo Bauer","M","PSDB","SC","Sul"
"29",106187,"2012-06-26",2012,"54ª","Empreendimentos Ambientais e Espaços Urbanos","Individual","Senadora Lídice da Mata (PSB/BA)","Lídice da Mata","F","PSB","BA","Nordeste"
"30",108550,"2012-11-06",2012,"54ª","Recursos Hídricos","Individual","Senador Pedro Taques (PDT/MT)","Pedro Taques","M","PDT","MT","Centro-Oeste"
"31",109392,"2012-12-04",2012,"54ª","Resíduos Sólidos","Coletiva","Comissão de Direitos Humanos e Legislação Participativa","Comissão de Direitos Humanos e Legislação Participativa",NA,NA,NA,NA
"32",105566,"2012-05-15",2012,"54ª","Empreendimentos Ambientais e Espaços Urbanos","Individual","Senador Rodrigo Rollemberg (PSB/DF)","Rodrigo Rollemberg","M","PSB","DF","Centro-Oeste"
"33",106810,"2012-08-07",2012,"54ª","Empreendimentos Ambientais e Espaços Urbanos","Individual","Senador Vital do Rêgo (MDB/PB)","Vital do Rêgo","M","MDB","PB","Nordeste"
"34",106176,"2012-06-25",2012,"54ª","Conservação da Natureza e Florestas","Individual","Senador Rodrigo Rollemberg (PSB/DF)","Rodrigo Rollemberg","M","PSB","DF","Centro-Oeste"
"35",106861,"2012-08-08",2012,"54ª","Crimes e Infrações Ambientais","Individual","Senador Lindbergh Farias (PT/RJ)","Lindbergh Farias","M","PT","RJ","Sudeste"
"36",111918,"2013-03-27",2013,"54ª","Crimes e Infrações Ambientais","Individual","Senador Paulo Paim (PT/RS)","Paulo Paim","M","PT","RS","Sul"
"37",115227,"2013-11-12",2013,"54ª","Sustentabilidade e Energias Renováveis","Individual","Senadora Lídice da Mata (PSB/BA)","Lídice da Mata","F","PSB","BA","Nordeste"
"38",114926,"2013-10-22",2013,"54ª","Proteção aos Animais","Individual","Senador Valdir Raupp (MDB/RO)","Valdir Raupp","M","MDB","RO","Norte"
"39",115855,"2013-12-17",2013,"54ª","Educação Ambiental","Individual","Senadora Vanessa Grazziotin (PCdoB/AM)","Vanessa Grazziotin","F","PC","AM","Norte"
"40",113339,"2013-06-25",2013,"54ª","Empreendimentos Ambientais e Espaços Urbanos","Individual","Senador Cícero Lucena (PSDB/PB)","Cícero Lucena","M","PSDB","PB","Nordeste"
"41",113552,"2013-07-04",2013,"54ª","Resíduos Sólidos","Individual","Senador Vital do Rêgo (MDB/PB)","Vital do Rêgo","M","MDB","PB","Nordeste"
"42",115630,"2013-12-04",2013,"54ª","Recursos Hídricos","Individual","Senador Eduardo Braga (MDB/AM)","Eduardo Braga","M","MDB","AM","Norte"
"43",115920,"2013-12-20",2013,"54ª","Sustentabilidade e Energias Renováveis","Coletiva","Comissão de Direitos Humanos e Legislação Participativa","Comissão de Direitos Humanos e Legislação Participativa",NA,NA,NA,NA
"44",113834,"2013-08-06",2013,"54ª","Política Fundiária e Reforma Agrária","Individual","Senador Pedro Simon (MDB/RS)","Pedro Simon","M","MDB","RS","Sul"
"45",114514,"2013-09-24",2013,"54ª","Conservação da Natureza e Florestas","Individual","Senador Acir Gurgacz (PDT/RO)","Acir Gurgacz","M","PDT","RO","Norte"
"46",115760,"2013-12-11",2013,"54ª","Resíduos Sólidos","Individual","Senador Pedro Taques (PDT/MT)","Pedro Taques","M","PDT","MT","Centro-Oeste"
"47",112744,"2013-05-16",2013,"54ª","Recursos Hídricos","Individual","Senador Wilder Morais (DEM/GO)","Wilder Morais","M","DEM","GO","Centro-Oeste"
"48",113724,"2013-07-15",2013,"54ª","Recursos Hídricos","Individual","Senador Cyro Miranda (PSDB/GO)","Cyro Miranda","M","PSDB","GO","Centro-Oeste"
"49",113903,"2013-08-08",2013,"54ª","Conservação da Natureza e Florestas","Individual","Senador Romero Jucá (MDB/RR)","Romero Jucá","M","MDB","RR","Norte"
"50",114197,"2013-09-02",2013,"54ª","Política Fundiária e Reforma Agrária","Coletiva","Senadora Kátia Abreu (PSD/TO) e outros.","Kátia Abreu","F","PSD","TO","Norte"
"51",112115,"2013-04-04",2013,"54ª","Recursos Hídricos","Individual","Senador João Durval (PDT/BA)","João Durval","M","PDT","BA","Nordeste"
