"","autor_un","count_dist","AnoMateria","DataApresentacao","Autor","Sexo","partido","uf"
"1","Eduardo Amorim",2,2011,"2011-08-31","Senador Eduardo Amorim (PSC/SE)","M","PSC","SE"
"2","Eduardo Amorim",2,2015,"2015-03-24","Senador Eduardo Amorim (PSC/SE)","M","PSC","SE"
"3","Eduardo Amorim",2,2018,"2018-05-22","Senador Eduardo Amorim (PSDB/SE)","M","PSDB","SE"
"4","Hélio José",2,2015,"2015-08-13","Senador Hélio José (PSD/DF)","M","PSD","DF"
"5","Hélio José",2,2018,"2018-06-19","Senador Hélio José (PROS/DF)","M","PROS","DF"
"6","Hélio José",2,2018,"2018-10-09","Senador Hélio José (PROS/DF)","M","PROS","DF"
"7","Hélio José",2,2018,"2018-10-16","Senador Hélio José (PROS/DF)","M","PROS","DF"
"8","José Medeiros",2,2017,"2017-03-29","Senador José Medeiros (PSD/MT)","M","PSD","MT"
"9","José Medeiros",2,2018,"2018-11-27","Senador José Medeiros (PODEMOS/MT)","M","PODEMOS","MT"
"10","Kátia Abreu",2,2013,"2013-09-02","Senadora Kátia Abreu (PSD/TO) e outros.","F","PSD","TO"
"11","Kátia Abreu",2,2014,"2014-08-05","Senadora Kátia Abreu (MDB/TO)","F","MDB","TO"
"12","Roberto Rocha",2,2015,"2015-03-04","Senador Roberto Rocha (PSB/MA)","M","PSB","MA"
"13","Roberto Rocha",2,2018,"2018-11-28","Senador Roberto Rocha (PSDB/MA)","M","PSDB","MA"
"14","Telmário Mota",2,2016,"2016-05-16","Senador Telmário Mota (PDT/RR)","M","PDT","RR"
"15","Telmário Mota",2,2017,"2017-05-29","Senador Telmário Mota (PTB/RR)","M","PTB","RR"
"16","Telmário Mota",2,2017,"2017-11-21","Senador Telmário Mota (PTB/RR)","M","PTB","RR"
"17","Wilder Morais",2,2013,"2013-05-16","Senador Wilder Morais (DEM/GO)","M","DEM","GO"
"18","Wilder Morais",2,2014,"2014-12-09","Senador Wilder Morais (DEM/GO)","M","DEM","GO"
"19","Wilder Morais",2,2015,"2015-10-22","Senador Wilder Morais (PP/GO)","M","PP","GO"
"20","Wilder Morais",2,2015,"2015-04-15","Senador Wilder Morais (DEM/GO)","M","DEM","GO"
"21","Wilder Morais",2,2015,"2015-03-12","Senador Wilder Morais (DEM/GO)","M","DEM","GO"
"22","Wilder Morais",2,2015,"2015-02-10","Senador Wilder Morais (DEM/GO)","M","DEM","GO"
"23","Wilder Morais",2,2016,"2016-02-17","Senador Wilder Morais (PP/GO)","M","PP","GO"
