"","FindLeis","count_dist"
"1","",70
"2","9.605",29
"3","12.651",17
"4","12.305",16
"5","9.433",16
"6","11.445",13
"7","6.938",11
"8","8.666",5
"9","10.257",4
"10","6.766",4
"11","8.036",4
"12","8.723",4
"13","11.794",3
"14","7.797",3
"15","8.987",3
"16","9.984",3
"17","10.522",2
"18","12.187",2
"19","12.351",2
"20","12.787",2
"21","3.365",2
"22","4.771",2
"23","6.528",2
"24","7.347",2
"25","7.990",2
"26","8.001",2
"27","8.629",2
"28","9.393",2
"29","9.648",2
"30","9.795",2
"31","1.079",1
"32","10.165",1
"33","10.519",1
"34","10.847",1
"35","10.848",1
"36","10.865",1
"37","11.284",1
"38","11.428",1
"39","11.516",1
"40","11.952",1
"41","11.959",1
"42","11.977",1
"43","12.334",1
"44","12.375",1
"45","12.462",1
"46","12.546",1
"47","13.033",1
"48","2.166",1
"49","2.197",1
"50","3.688",1
"51","300.000",1
"52","4.380",1
"53","6.001",1
"54","6.015",1
"55","6.088",1
"56","6.360",1
"57","6.404",1
"58","7.173",1
"59","7.661",1
"60","7.754",1
"61","7.827",1
"62","8.072",1
"63","8.171",1
"64","8.427",1
"65","8.429",1
"66","9.074",1
"67","9.249",1
"68","9.279",1
"69","9.394",1
"70","9.636",1
"71","9.718",1
"72","9.985",1
"73","96.999",1
