"","TipoConteudo","FindLeis","count_dist"
"1","Alteração","9.605",26
"2","Alteração","12.651",17
"3","Alteração","12.305",16
"4","Alteração","9.433",15
"5","Alteração","11.445",13
"6","Alteração","6.938",11
"7","Alteração","8.666",5
"8","Alteração","",4
"9","Alteração","10.257",4
"10","Alteração","6.766",4
"11","Alteração","8.036",4
"12","Alteração","8.723",4
"13","Alteração","8.987",3
"14","Alteração","9.984",3
"15","Alteração","10.522",2
"16","Alteração","11.794",2
"17","Alteração","12.187",2
"18","Alteração","12.351",2
"19","Alteração","12.787",2
"20","Alteração","3.365",2
"21","Alteração","4.771",2
"22","Alteração","6.528",2
"23","Alteração","7.347",2
"24","Alteração","7.797",2
"25","Alteração","7.990",2
"26","Alteração","8.001",2
"27","Alteração","8.629",2
"28","Alteração","9.393",2
"29","Alteração","9.648",2
"30","Alteração","9.795",2
"31","Alteração","1.079",1
"32","Alteração","10.165",1
"33","Alteração","10.847",1
"34","Alteração","10.848",1
"35","Alteração","10.865",1
"36","Alteração","11.284",1
"37","Alteração","11.428",1
"38","Alteração","11.952",1
"39","Alteração","11.959",1
"40","Alteração","11.977",1
"41","Alteração","12.334",1
"42","Alteração","12.375",1
"43","Alteração","12.462",1
"44","Alteração","12.546",1
"45","Alteração","13.033",1
"46","Alteração","2.166",1
"47","Alteração","2.197",1
"48","Alteração","300.000",1
"49","Alteração","4.380",1
"50","Alteração","6.001",1
"51","Alteração","6.015",1
"52","Alteração","6.088",1
"53","Alteração","6.360",1
"54","Alteração","6.404",1
"55","Alteração","7.661",1
"56","Alteração","7.754",1
"57","Alteração","7.827",1
"58","Alteração","8.072",1
"59","Alteração","8.171",1
"60","Alteração","8.427",1
"61","Alteração","8.429",1
"62","Alteração","9.074",1
"63","Alteração","9.249",1
"64","Alteração","9.279",1
"65","Alteração","9.394",1
"66","Alteração","9.636",1
"67","Alteração","9.985",1
"68","Criação","",66
"69","Criação","9.605",3
"70","Criação","10.519",1
"71","Criação","11.516",1
"72","Criação","11.794",1
"73","Criação","3.688",1
"74","Criação","7.173",1
"75","Criação","7.797",1
"76","Criação","9.433",1
"77","Criação","9.718",1
"78","Criação","96.999",1
