"","Legislatura","partido","count_PLs"
"1","54ª","MDB",16
"2","54ª","PSDB",10
"3","54ª","PDT",8
"4","54ª","PSB",8
"5","54ª","PT",7
"6","54ª","PL",6
"7","54ª","DEM",5
"8","54ª","PP",5
"9","54ª","PC",4
"10","54ª","PSC",1
"11","54ª","PSD",1
"12","54ª","PTB",1
"13","55ª","MDB",27
"14","55ª","PSDB",17
"15","55ª","PT",13
"16","55ª","PDT",11
"17","55ª","PL",11
"18","55ª","DEM",8
"19","55ª","PP",8
"20","55ª","PSB",7
"21","55ª","PSD",7
"22","55ª","REDE",4
"23","55ª","PROS",3
"24","55ª","REPUBLICANOS",3
"25","55ª","PTB",2
"26","55ª","PV",2
"27","55ª","PODEMOS",1
"28","55ª","PSC",1
"29",NA,NA,10
