"","CodigoMateria","DescricaoIdentificacaoMateria","TipoConteudo","EmentaMateria","DataApresentacao","class_tematica"
"1",99124,"PLS 38/2011","Alteração","Altera a Lei nº 8.723, de 28 de outubro de 1993, que dispõe sobre a redução de emissão de poluentes por veículos automotores e dá outras providências, para tornar obrigatória a divulgação no Certificado de Registro e Licenciamento do Veículo - CRLV e na Nota Fiscal, a quantidade de emissão dos gases poluentes e de gás carbônico (CO2), gás de efeito estufa, emitidos na atmosfera pelos veículos automotivos.","2011-02-15","Educação Ambiental"
"2",101350,"PLS 444/2011","Alteração","Altera a Lei nº 11.445, de 05 de janeiro de 2007, que estabelece diretrizes nacionais para o saneamento básico e dá outras providências, para determinar a medição individualizada do consumo hídrico nas edificações condominiais.","2011-08-03","Recursos Hídricos"
"3",101943,"PLS 533/2011","Criação","Autoriza o Poder Executivo a instituir incentivos fiscais destinados a estimular as pessoas jurídicas que exerçam atividade de controle ambiental de resíduos.","2011-08-31","Resíduos Sólidos"
"4",103741,"PLS 731/2011","Alteração","Altera os arts. 18 e 75 da Lei de Crimes Ambientais para elevar os limites das multas penal e administrativa.","2011-12-13","Crimes e Infrações Ambientais"
"5",99974,"PLS 185/2011","Alteração","Acrescenta novo inciso ao art. 6º da Lei nº 6.938/81, que dispõe sobre a Política Nacional do Meio Ambiente, criando o Selo Verde ""Preservação da Amazônia"" para produtos oriundos da Zona Franca de Manaus, e dá outras providências.","2011-04-20","Conservação da Natureza e Florestas"
"6",100216,"PLS 249/2011","Criação","Cria incentivo fiscal de redução do imposto de renda para fomentar projetos de florestamento ou reflorestamento em propriedade rural familiar.","2011-05-12","Conservação da Natureza e Florestas"
"7",103831,"PLS 750/2011","Criação","Dispõe sobre a Política de Gestão e Proteção do Bioma Pantanal e dá outras providências.","2011-12-20","Conservação da Natureza e Florestas"
"8",102273,"PLS 560/2011","Criação","Reduz a quantidade de enxofre no Óleo Diesel.","2011-09-13","Sustentabilidade e Energias Renováveis"
"9",100634,"PLS 322/2011","Criação","Proíbe a utilização, a fabricação, a importação, a comercialização e a distribuição de sacolas plásticas que em sua composição química tenham como base o polietileno, o propileno e o polipropileno.","2011-06-09","Resíduos Sólidos"
"10",100779,"PLS 345/2011","Alteração","Altera a Lei nº 12.351, de 22 de dezembro de 2010, para dispor sobre os royalties e a receita da comercialização relativos ao regime de partilha de produção.","2011-06-16","Recursos Hídricos"
"11",99045,"PLS 8/2011","Alteração","Altera a Lei nº 4.771, de 15 de setembro de 1965 (Código Florestal), para permitir o emprego de espécies frutíferas na recomposição da reserva florestal legal e das áreas de preservação permanente na Amazônia Legal e em pequena propriedade ou posse rural familiar, determinar a concessão de incentivos fiscais e creditícios para essa recomposição, e dá outras providências.","2011-02-08","Conservação da Natureza e Florestas"
"12",99162,"PLS 51/2011","Alteração","Dá nova redação ao art. 9º da Lei nº 8.723, de 28 de outubro de 1993, que dispõe sobre a redução de emissão de poluentes por veículos automotores.","2011-02-17","Sustentabilidade e Energias Renováveis"
"13",99828,"PLS 148/2011","Alteração","Altera a Lei nº 12.305, de 2 de agosto de 2010, para disciplinar o descarte de medicamentos de uso humano ou de uso veterinário.","2011-04-07","Resíduos Sólidos"
"14",100082,"PLS 212/2011","Criação","Institui o sistema nacional de redução de emissões por desmatamento e degradação, conservação, manejo florestal sustentável, manutenção e aumento dos estoques de carbono florestal (REDD+), e dá outras providências.
","2011-05-03","Conservação da Natureza e Florestas"
"15",100378,"PLS 281/2011","Criação","Estabelece regime especial para a definição da área de reserva legal em propriedade ou posse situada na Amazônia Legal.","2011-05-24","Conservação da Natureza e Florestas"
"16",101650,"PLS 488/2011","Criação","Dispõe sobre a coleta e a destinação final de equipamentos eletroeletrônicos descartados e seus componentes.","2011-08-17","Resíduos Sólidos"
"17",101947,"PLS 537/2011","Criação","Estabelece a forma de recolhimento e destinação final de baterias automotivas e industriais, compostas por Chumbo e Ácido Sulfúrico.","2011-08-31","Resíduos Sólidos"
"18",100948,"PLS 371/2011","Criação","Dispõe sobre a proibição da extração, da importação, do transporte, do armazenamento e da industrialização do amianto e dos minérios e rochas que contenham silicatos hidratados, bem como a proibição da importação e da comercialização dos produtos que os utilizem como matéria-prima.","2011-06-30","Sustentabilidade e Energias Renováveis"
"19",101046,"PLS 396/2011","Alteração","Altera a Lei nº 8.427, de 27 de maio de 1992, para autorizar a concessão de subvenção econômica para agricultores familiares e empreendedores familiares rurais que empreendam práticas de conservação ambiental.","2011-07-06","Conservação da Natureza e Florestas"
"20",98967,"PLS 5/2011","Alteração","Altera a Lei nº 8.666, de 21 de junho de 1993, para incluir exigências quanto a critérios de sustentabilidade ambiental nas normas gerais sobre licitações e contratos administrativos.","2011-02-03","Sustentabilidade e Energias Renováveis"
"21",106866,"PLS 299/2012","Alteração","Altera a Lei nº 7.347, de 24 de julho de 1985, para dispor sobre a cumulação dos deveres de reparação do dano ambiental e de indenização, e dá outras providências.","2012-08-08","Crimes e Infrações Ambientais"
"22",105249,"PLS 123/2012","Criação","Dispõe sobre as áreas consolidadas em áreas de preservação permanente e em áreas de reserva legal, e dá outras providências.","2012-04-25","Conservação da Natureza e Florestas"
"23",107084,"PLS 310/2012","Alteração","Dá nova redação ao art. 15-A e acrescenta-se § 2º ao art. 34, ambos do Decreto-Lei nº 3.365, de 21 de junho de 1941, para dispor sobre a fixação dos juros compensatórios devidos em decorrência das desapropriações por necessidade ou utilidade pública e interesse social, inclusive para fins de reforma agrária, bem como dispor sobre a indenização de área não registrada nas desapropriações por utilidade pública.","2012-08-28","Política Fundiária e Reforma Agrária"
"24",104955,"PLS 94/2012","Criação","Institui, em processos licitatórios para exploração de petróleo, gás natural ou outros hidrocarbonetos, a necessidade de incluir disposição que trate de planos de emergência para os casos de vazamento ou derramamento de óleo ou derivados, como requisito de edital, como critério de julgamento de licitação e como condição contratual.","2012-04-11","Conservação da Natureza e Florestas"
