"","X.1","X","CodigoMateria","AnoMateria","DescricaoIdentificacaoMateria","IndicadorTramitando","EmentaMateria","ExplicacaoEmentaMateria","IndexacaoMateria","Autor","DataApresentacao","DataLeitura","CodigoNatureza","NomeNatureza","DescricaoNatureza","Codigo_especifico","Descricao_especifica","Codigo_geral","Descricao_geral","NaturezaMateria","ApelidoMateria","ObservacaoMateria","CodMateriaSucessoraNoSenado","CodigoClasseConcat","DescricaoClasseConcat","DescricaoClasseHiearConcat","amostra_meioamb","Subtemas","TipoIniciativa","IndexacaoAjustada2","TipoConteudo"
"1",5,5,99124,2011,"PLS 38/2011","Não","Altera a Lei nº 8.723, de 28 de outubro de 1993, que dispõe sobre a redução de emissão de poluentes por veículos automotores e dá outras providências, para tornar obrigatória a divulgação no Certificado de Registro e Licenciamento do Veículo - CRLV e na Nota Fiscal, a quantidade de emissão dos gases poluentes e de gás carbônico (CO2), gás de efeito estufa, emitidos na atmosfera pelos veículos automotivos.","Acresce o § 3º do art. 13 da Lei 8.723/1993 para obrigar os fabricantes e os órgãos de licenciamento de veículos automotivos a divulgar no Certificado de Registro e Licenciamento do Veículo - CRLV e na Nota Fiscal, os valores de emissão de gases poluentes emitidos na atmosfera por esses veículos, bem como de gás carbônico e gás de efeito estufa.","PROJETO DE LEI, SENADO, ALTERAÇÃO, OBRIGATORIEDADE, QUANTIDADE, EMISSÃO, POLUIÇÃO, CERTIFICADO, LICENCIAMENTO, GÁS CARBÔNICO, NOTA FISCAL, VEÍCULO AUTOMOTOR, AUTOMÓVEL, DIVULGAÇÃO, FABRICANTE, FÁBRICA, INDÚSTRIA, ÓRGÃO PÚBLICO.","Senador Clésio Andrade (PL/MG)","2011-02-15","2011-02-15",NA,"","",146,"Meio ambiente",84,"Social",NA,"","",NA,"33809634","Meio Ambiente","Meio Ambiente",1,"Meio Ambiente","Individual","-, ALTERAÇÃO, OBRIGATORIEDADE, QUANTIDADE, EMISSÃO","Alteração"
"2",58,58,101350,2011,"PLS 444/2011","Não","Altera a Lei nº 11.445, de 05 de janeiro de 2007, que estabelece diretrizes nacionais para o saneamento básico e dá outras providências, para determinar a medição individualizada do consumo hídrico nas edificações condominiais.","Acrescenta parágrafo ao artigo 29 da Lei nº 11.445, de 05 de janeiro de 2007 (Estabelece diretrizes nacionais para o saneamento básico) para determinar que as edificações condominiais devem adotar padrões de sustentabilidade ambiental que incluam, entre outros procedimentos, a medição individualizada do consumo hídrico por unidade imobiliária, no prazo máximo de dois anos.


","PROJETO DE LEI, SENADO, ALTERAÇÃO, LEI DE SANEAMENTO BÁSICO, INCLUSÃO, DIRETRIZES, POLÍTICAS PÚBLICAS, SANEAMENTO BÁSICO, MEDIDA DE CONTROLE, INDIVIDUALIZAÇÃO, HIDROMETRIA, PRÉDIO, IMÓVEL, CONDOMÍNIO, PRAZO DETERMINADO, MÉTODO, ECONOMIA, REDUÇÃO, CONSUMO, ÁGUA.","Senador Antonio Carlos Valadares (PSB/SE)","2011-08-03","2011-08-03",11,"NORMA_GERAL","Norma Geral",146,"Meio ambiente",84,"Social",NA,"","",NA,"33809634","Meio Ambiente","Meio Ambiente",1,"Meio Ambiente","Individual","-, ALTERAÇÃO, LEI DE SANEAMENTO BÁSICO, INCLUSÃO, ","Alteração"
"3",75,75,101943,2011,"PLS 533/2011","Não","Autoriza o Poder Executivo a instituir incentivos fiscais destinados a estimular as pessoas jurídicas que exerçam atividade de controle ambiental de resíduos.","Autoriza  o Poder Executivo a instituir incentivos fiscais destinados a estimular as pessoas jurídicas que exerçam atividade de controle ambiental de resíduos; define atividade de controle ambiental de resíduos consiste na coleta de resíduos, no tratamento e despoluição do ar e da água, bem como na produção de máquinas e equipamentos e no desenvolvimento de tecnologias e projetos, além da prestação de serviços de controle ambiental para a eliminação de resíduos do ar e da água; estabelece que os incentivos tratados nessa Lei compreendem a redução das bases de cálculo para recolhimentos referentes ao Imposto de Renda das Pessoas Jurídicas (IRPJ), ao Imposto sobre Produtos Industrializados (IPI), ao Programa de Integração Social (PIS) e à Contribuição para o Financiamento da Seguridade Social (COFINS), excluída a pessoa jurídica inadimplente cujos créditos não estejam com sua exigibilidade suspensa; dispõe que a fruição desses incentivos condicionam-se à prévia certificação das pessoas jurídicas a serem beneficiadas, emitida pelo Ministério do Meio Ambiente; dispõe que as empresas destinatárias finais dos produtos e serviços oferecidos desde que antecipem no cumprimento dos prazos impostos pelos órgãos de fiscalização sanitária e combate à poluição, poderão deduzir até 50% (cinqüenta por cento) dos valores gastos com equipamentos de controle ambiental das base de cálculo de seu IRPJ e de sua CSLL em escala progressiva, proporcional ao tempo de antecipação; inclui entre os beneficiários desta Lei, quando cadastrados no Ministério do Meio Ambiente, as empresas fornecedoras de insumos às pessoas jurídicas que exerçam atividade de controle ambiental de resíduos.

","PROJETO DE LEI, SENADO, AUTORIZAÇÃO, EXECUTIVO, CRIAÇÃO, INCENTIVO FISCAL, DESONERAÇÃO TRIBUTARIA, DESTINAÇÃO, PESSOA JURÍDICA, ATIVIDADE, CONTROLE, MEIO AMBIENTE, COLETA, RESÍDUO, TRATAMENTO, DESPOLUIÇÃO, AR, ÁGUA, PRODUÇÃO, MÁQUINA, EQUIPAMENTOS, DESENVOLVIMENTO TECNOLÓGICO, DESENVOLVIMENTO, PROJETO, PRESTAÇÃO DE SERVIÇO, CONTROLE, INCENTIVO, REDUÇÃO, BASE DE CÁLCULO, IMPOSTO DE RENDA, PESSOA JURÍDICA, (IPI), (PIS), (COFINS), REQUISITOS, CERTIFICADO DE COMPROVAÇÃO, EMISSÃO, (MMA), EMPRESA, DESTINATÁRIO, PRODUTO, SERVIÇO, CUMPRIMENTO, PRAZO, ÓRGÃO FISCALIZADOR, COMBATE, POLUIÇÃO, DEDUÇÃO, PERCENTAGEM, VALOR, CONTRIBUIÇÃO SOCIAL, LUCRO LIQUIDO, PROGRESSÃO, PROPORCIONALIDADE, TEMPO, ANTECIPAÇÃO, FORNECEDOR, INSUMO.","Senador Jayme Campos (DEM/MT)","2011-08-31","2011-08-31",NA,"","",146,"Meio ambiente",84,"Social",NA,"","",NA,"33809634","Meio Ambiente","Meio Ambiente",1,"Meio Ambiente","Individual","-, AUTORIZAÇÃO, EXECUTIVO, CRIAÇÃO, INCENTIVO FISC","Criação"
"4",108,108,103741,2011,"PLS 731/2011","Não","Altera os arts. 18 e 75 da Lei de Crimes Ambientais para elevar os limites das multas penal e administrativa.","Altera os arts. 18 e 75 da Lei nº 9.605/1998 – Lei de Crimes Ambientais; o art. 18, que dispõe que a multa será calculada segundo os critérios do Código Penal, é alterado para possibilitar o aumento da pena em até cinco vezes, ao invés de até três vezes, quando a multa revelar-se ineficaz, tendo em vista o valor da vantagem econômica auferida; o art. 75, que trata da multa referente a infração administrativa, aumenta o valor mínimo da multa de cinqüenta reais para trezentos reais e o valor máximo da multa de cinqüenta milhões de reais para duzentos milhões de reais.

Assunto: Meio ambiente - Social","ALTERAÇÃO, NORMA JURIDICA, LEI FEDERAL, LEI DE CRIMES AMBIENTAIS, CRIME CONTRA O MEIO AMBIENTE, MULTA, CALCULO, CRITERIOS, CODIGO PENAL, INEFICACIA, APLICAÇÃO, VALOR, POSSIBILIDADE, AUMENTO, COMPARAÇÃO, VANTAGENS PECUNIARIAS, FIXAÇÃO, CORREÇÃO, PERIODO, INDICE, LEGISLAÇÃO.","Senador Rodrigo Rollemberg (PSB/DF)","2011-12-13","2011-12-13",11,"NORMA_GERAL","Norma Geral",146,"Meio ambiente",84,"Social",NA,"","",NA,"33809634","Meio Ambiente","Meio Ambiente",1,"Meio Ambiente","Individual","ALTERAÇÃO, NORMA JURIDICA, LEI FEDERAL, LEI DE CRI","Alteração"
"5",134,134,99974,2011,"PLS 185/2011","Não","Acrescenta novo inciso ao art. 6º da Lei nº 6.938/81, que dispõe sobre a Política Nacional do Meio Ambiente, criando o Selo Verde ""Preservação da Amazônia"" para produtos oriundos da Zona Franca de Manaus, e dá outras providências.","Altera a Lei nº 6.938/1981 para criar o Selo Verde ""Preservação da Amazônia"" para produtos oriundos da Zona Franca de Manaus com o objetivo de atestar a adequação ambiental de produtos; dispõe que tal Selo será concedido voluntariamente pelos Órgãos e entidades integrantes do Sistema Nacional do Meio Ambiente - SISNAMA; estabelece que produtos ambientalmente adequados são aqueles que cumprem alguns critérios nas etapas de produção, transporte e comercialização atendendo os preceitos éticos e normativos da proteção ambiental; dispõe que enquanto não vencida ou cancelada a concessão, as pessoas jurídicas detentoras do Selo Verde ""Preservação da Amazônia"" podem dele fazer usos em suas peças publicitárias ou como melhor lhes aprouver.


","ALTERAÇÃO, ACRÉSCIMO, CRIAÇÃO, SELO, PRESERVAÇÃO, REGIÃO AMAZÔNICA, PRODUTO, ZONA FRANCA, ORIGEM, PROTEÇÃO, IMPACTO AMBIENTAL, DESENVOLVIMENTO SUSTENTÁVEL, MEIO AMBIENTE, (SISNAMA), CONCESSÃO, DESENVOLVIMENTO SUSTENTÁVEL, EMPRESA, PESSOA JURÍDICA, ANÁLISE, FABRICAÇÃO, INSUMO, REDUÇÃO, CONSUMO, UTILLIZAÇÃO, EMISSÃO, RESÍDUO, POLUIÇÃO, RECICLAGEM, EMBALAGEM, SIGILO, SEGREDO, COBRANÇA, TAXA DE SERVIÇO, CONVÊNIO, CONTRATO, ÓRGÃO TÉCNICO, METODOLOGIA, AVALIAÇÃO TÉCNICA, PRAZO, CANCELAMENTO, DIVULGAÇÃO, PUBLICIDADE, OBSOLESCÊNCIA, TRANSPORTE, GÁS CARBÔNICO, ENERGIA, IMPACTO AMBIENTAL, DESMATAMENTO, FLORESTA AMAZÕNICA.","Senadora Vanessa Grazziotin (PCdoB/AM)","2011-04-20","2011-04-20",11,"NORMA_GERAL","Norma Geral",146,"Meio ambiente",84,"Social",NA,"","",NA,"33809634","Meio Ambiente","Meio Ambiente",1,"Meio Ambiente","Individual","ALTERAÇÃO, ACRÉSCIMO, CRIAÇÃO, SELO, PRESERVAÇÃO, ","Alteração"
"6",142,142,100216,2011,"PLS 249/2011","Não","Cria incentivo fiscal de redução do imposto de renda para fomentar projetos de florestamento ou reflorestamento em propriedade rural familiar.","Cria o incentivo fiscal de redução de imposto de renda para fomentar projetos de florestamento ou reflorestamento em propriedade rural familiar, considerando esta as que o agricultor familiar ou o empreendedor familiar rural pratica atividades no meio rural; dispõe que a aplicação do incentivo fiscal de que trata essa lei será efetuada mediante contrato entre o legítimo proprietário ou possuidor de imóvel rural familiar e a pessoa física ou jurídica declarante do imposto devido; dispõe que o contrato poderá também ser celebrado com associações cooperativas, desde que compostas exclusivamente por agricultores familiares ou empreendedores familiares rurais.


","CRIAÇÃO, INCENTIVO FISCAL, DESONERAÇÃO TRIBUTARIA, REDUÇÃO, IMPOSTO DE RENDA, FOMENTO, FLORESTAMENTO, REFLORESTAMENTO, PROPRIEDADE FAMILIAR, PROPRIEDADE RURAL, AGRICULTOR, DEDUÇÃO, DECLARAÇÃO DE RENDIMENTO, LUCRO REAL, LUCRO TRIBUTÁVEL, PESSOA FÍSICA, PESSOA JURÍDICA, VALOR MONETÁRIO, PORCENTAGEM, IMPOSTO DEVIDO, BASE DE CÁLCULO, CONTRIBUIÇÃO SOCIAL, LUCRO LIQUIDO, CONTRATO, PROPRIETÁRIO, COOPERATIVA, IDENTIFICAÇÃO, ASSISTENCIA TÉCNICA, GRATUIDADE, RESPONSABILIDADE TÉCNICA, APRESENTAÇÃO, PROJETO, OBRIGATORIEDADE, CLÁUSULA.","Senador Luiz Henrique (MDB/SC)","2011-05-12","2011-05-12",11,"NORMA_GERAL","Norma Geral",146,"Meio ambiente",84,"Social",NA,"","",NA,"33809634","Meio Ambiente","Meio Ambiente",1,"Meio Ambiente","Individual","CRIAÇÃO, INCENTIVO FISCAL, DESONERAÇÃO TRIBUTARIA,","Criação"
"7",209,209,103831,2011,"PLS 750/2011","Não","Dispõe sobre a Política de Gestão e Proteção do Bioma Pantanal e dá outras providências.","Dispõe sobre a Política de Gestão e Proteção do Bioma Pantana, conjunto de vida vegetal e animal, especificado pelo agrupamento de tipos de vegetação e identificável em escala regional, com influência de clima, temperatura, precipitação de chuvas, pela unidade relativa, e solo que se localiza na bacia do Rio Paraguai (art. 1º). Define para efeitos da lei: I) sustentabilidade ambiental; II) planície alagável do Pantanal; III) corixo; IV) pulso de inundação; V) vereda; VI) capão; VII) mata ciliar; VIII) cordilheira; IX) várzea; X) vazante; XI) baía; XII) estrada-dique sem obras de arte; XIII) estrada-dique com obras de arte; XIV) estrada no Pantanal; XV) dique marginal natural; XVI) dique artificial; XVII) aterro; XVIII) brejo em áreas de planície; XIX brejo em áreas de planalto; XX) meandro; XXI) murundum; XXII) povo e comunidades tradicionais; XXIII) pesca de subsistência; XXIV) atividades econômicas sustentáveis; XXV) modelo endógeno de produção; XXVI) área de conservação permanente; XXVII) bacia do rio Paraguai (art. 2º).  Arrola os princípios da Política: I) precaução; II) do poluidor-pagador; III) do usuário-pagador; IV) da prevenção; V) da participação social e descentralização; VI) da ubiquidade; VII) da bacia hidrográfica; VIII) do direito humano fundamental; IX) do desenvolvimento sustentável; X) do limite; XI) da proteção do Pantanal como patrimônio nacional, Sítio Ramsar e Reserva da Biosfera; XII) do reconhecimento dos saberes tradicionais como contribuição para o desenvolvimento e a gestão das potencialidades da região; XIII) do respeito às formas e uso e de gestão dos bens ambientais utilizados por povos e comunidades tradicionais, bem como a sua valorização; XIV) do respeito à diversidade biológica e aos valores ecológicos, genéticos, sociais, econômicos, científicos, educacionais, culturais, religiosos, recreativos e estéticos associados (art. 3º). Trata das diretrizes da Política e das atribuições do poder público e dos órgãos estaduais de meio ambiente (arts. 4º a 6º). Considera as áreas de preservação permanente na planície alagável da Bacia do Rio Paraguai  como área protegida, coberta ou não por vegetação nativa, com a função ambiental de preservar os recursos hídricos, a paisagem, a estabilidade geológica e biodiversidade, objetivando facilitar o fluxo gênico de fauna e flora, proteger o solo e assegurar o bem estar das populações humanas, versando especificamente das: I) faixas marginais de qualquer curso d’água natural; II) áreas no entrono de baías, lagos e lagoas naturais; III) áreas no entorno dos reservatórios d’água artificiais; IV) florestas e demais formas de vegetação (art. 7º). Considera áreas de conservação permanente na planície alagável do Pantanal: I) os campos inundáveis; II) os corixos; III) os meandros de rios; IV) as baías e lagoas marginais; V) as cordilheiras; VI) os diques marginais naturais; VII) os capões de mato e os murunduns (art. 8º).  Na área de conservação permanente na parte alagável do Pantanal a intervenção ou a supressão de vegetação nativa somente ocorrerá nas hipóteses de utilidade pública, de interesse social ou de baixo impacto ambiental prevista na Lei (art. 9º). O acesso de pessoas e animais às áreas de preservação permanente para obtenção de água e para realização de atividades de baixo impacto ambiental será permitido (art.10). É vedada, nos limites da Planície Alagável da Bacia do Rio Paraguai: I) o licenciamento de criatórios de espécies de fauna que não sejam autóctones da bacia hidrográfica; II) a implantação de projetos agrícolas, exceto a atividade agrícola de subsistência e a pecuária extensiva; III) a construção de diques, barragens ou obras de alterações dos cursos d’água, exceto açudes, tanques para piscicultura e pecuária extensiva, estabelecidos fora das linhas de drenagens, bem como para recuperação ambiental, a construção de estradas para acesso as propriedades rurais e empreendimentos hoteleiros dentro dos limites da planície alagável, desde que não impeçam o fluxo natural da água; IV) a implantação de assentamento rural; V) a instalação e funcionamento de atividades de médio e alto grau de poluição e/ou degradação ambiental na planície alagável (art.11). Deverão ser prévia e obrigatoriamente vistoriados qualquer empreendimento ou atividade localizado na planície alagável do rio Paraguai e faixa marginal de 10 km (art. 12). A limpeza de pastagem, para fins da pecuária extensiva, será permitida para algumas espécies arroladas na Lei (art. 13). As atividades de piscicultura e criação de animais da fauna silvestre serão licenciadas, desde que as espécies sejam de ocorrência natural na Bacia do Rio Paraguai (art. 14).  Deve ser compatibilizada com a conservação e preservação do meio ambiente, buscando a manutenção da diversidade biológica e recursos hídricos, a navegação comercial nos rios da Bacia do Rio Paraguai, devendo as embarcações adaptadas aos rios, sendo vetado o transporte de produtos potencialmente perigosos (art. 15). É estabelecido um período de 5 (cinco) anos de moratória nos rios do pantanal brasileiro para pesca (profissional e amadora), devendo o governo federal instituir um programa de apoio aos pescadores profissionais do pantanal (art. 16). Deverá ser promovida pelas Oemas, dentro de 5 (cinco) anos, a identificação de barragens, diques e aterros existentes na planície alagável do Rio Paraguai, fixando aos responsáveis (pessoas físicas ou jurídicas, públicas ou privadas) prazo para remoção ou adequação se ficar constatado que causam significativos danos ao ecossistema do Pantanal (art. 17). O Ministério do Meio Ambiente e as organizações estaduais de meio ambiente, no prazo de 5 (cinco) anos promoverão a realização de plano de manejo para as Unidades de Conservação existentes na planície alagável do Pantanal (art.18). Deverá ser observada a dinâmica hidrológica, visando a minimização dos impactos de represamento, no uso e construção de estradas na planície alagável da Bacia do Rio Paraguai (art.19).","POLÍTICA, PROTEÇÃO, GESTÃO, BIOSFERA, BIODIVERSIDADE, DESENVOLVIMENTO SUSTENTAVEL, ECOSSISTEMA, MEIO AMBIENTE, POLÍTICA DO MEIO AMBIENTE, IMPACTO AMBIENTAL, EQUILÍBRIO ECOLÓGICO, MANEJO ECOLÓGICO, PANTANAL MATO-GROSSENSE, (EMBRAPA), BACIA HIDROGRÁFICA, INUNDAÇÃO, RIO, ATIVIDADE SAZONAL, CHUVA, ÁGUAS PLUVIAIS, ÁGUAS FLUVIAIS, CURSO D'ÁGUA, NASCENTE, MARGEM, VÁRZEA, VALE, BAÍA, ESTRADA, DIQUE, REPRESA, ATERRO, BREJO, PESCA, COMUNIDADE, POVO, ÁREA DE PROTEÇÃO AMBIENTAL, ATIVIDADE ECONÔMICA, OBJETIVO, PREVENÇÃO, RECURSOS AMBIENTAIS, DIRETRIZ, ARTICULAÇÃO, GOVERNO FEDERAL, GOVERNO ESTADUAL, GOVERNO MUNICIPAL, SOCIEDADE CIVIL, INTEGRAÇÃO, SOLO, RECURSOS HÍDRICOS, PARTICIPAÇÃO, GARANTIA, DIREITOS E GARANTIAS INDIVIDUAIS, PARCERIA, INTERCÂMBIO, INFORMAÇÕES, OCUPAÇÃO, INCENTIVO, APOIO, AUXÍLIO, ASSISTÊNCIA, IMPLEMENTAÇÃO, RECONHECIMENTO, TURISMO, COMPETÊNCIA, PODER PÚBLICO, FOMENTO, CERTIFICADO, PIRATARIA, TRÁFICO, PESQUISA CIENTÍFICA, PESQUISA SÓCIO ECONÔMICA, ESTOQUE, PEIXE, PRODUÇÃO AGRÍCOLA, PRODUÇÃO AGROPECUÁRIA, SILVICULTURA, PRAZO, ESGOTO, IMPLANTAÇÃO, DIAGNÓSTICO, CONTROLE, FISCALIZAÇÃO, COMÉRCIO, POLUIÇÃO, FAIXA, DISTÂNCIA, FLORESTA, LAGO, LAGOA, ILHA, SECA, CULTIVO, PEQUENA PROPRIEDADE, PEQUENO PRODUTOR RURAL, FAUNA, FLORA, IMÓVEL RURAL, AQUICULTURA, LIMITAÇÃO, MÓDULO FISCAL, LICENCIAMENTO, PECUÁRIA, INTERVENÇÃO, UTILIDADE PÚBLICA, INTERESSE SOCIAL, DISPENSA, AUTORIZAÇÃO, SEGURANÇA NACIONAL, DEFESA CIVIL, ACESSO, PROIBIÇÃO, VIVEIRO, EXCEÇÃO, SUBSISTÊNCIA, ASSENTAMENTO RURAL, USINA AÇUCAREIRA, INDÚSTRIA CARBONÍFERA, MATADOURO, VISTORIA, PARECER, PASTAGEM, LIMPEZA, MADEIRA, DESMATAMENTO, NAVEGAÇÃO, EMBARCAÇÃO, MORATÓRIA, IDENTIFICAÇÃO, (MMA), UNIDADE, CONSERVAÇÃO.","Senador Blairo Maggi (PL/MT)","2011-12-20","2011-12-20",NA,"","",146,"Meio ambiente",84,"Social",NA,"","",NA,"33809634","Meio Ambiente","Meio Ambiente",1,"Meio Ambiente","Individual","POLÍTICA, PROTEÇÃO, GESTÃO, BIOSFERA, BIODIVERSIDA","Criação"
"8",285,285,102273,2011,"PLS 560/2011","Não","Reduz a quantidade de enxofre no Óleo Diesel.","Propõe a redução gradativa do enxofre presente na composição do óleo diesel consumido no Brasil, para até 500 mg/kg em 2012, até 100 mg/kg em 2013, até 50 mg/kg em 2014 e até 10 mg/kg em 2015; estabelece a entrada em vigor da lei resultante deste projeto em 1º de janeiro de 2012.

","PROJETO DE LEI, SENADO, LEI NOVA, DISPOSIÇÃO, REDUÇÃO, QUANTIDADE, ENXOFRE, CONSUMO, ÓLEO DIESEL, VIGÊNCIA, POSTERIORIDADE, CALENDÁRIO, IMPLEMENTAÇÃO, COMBUSTÍVEL, POLUIÇÃO, SAÚDE, PERIGO, MEIO AMBIENTE, PRAZO MÁXIMO, DOENÇA.","Senador Clésio Andrade (PL/MG)","2011-09-13","2011-09-13",11,"NORMA_GERAL","Norma Geral",146,"Meio ambiente",84,"Social",NA,"","",NA,"33809634","Meio Ambiente","Meio Ambiente",1,"Meio Ambiente","Individual","-, LEI NOVA, DISPOSIÇÃO, REDUÇÃO, QUANTIDADE, ENXO","Criação"
"9",351,351,100634,2011,"PLS 322/2011","Não","Proíbe a utilização, a fabricação, a importação, a comercialização e a distribuição de sacolas plásticas que em sua composição química tenham como base o polietileno, o propileno e o polipropileno.","Estabelece a proibição de utilização, fabricação, importação, comercialização e distribuição de sacolas plásticas que contenham polietileno, propileno e polipropileno, não se estendendo ao plástico oxibiodegradável (polímero catalisado). Estabelece a competência fiscalizatória e de promoção de campanhas educativas ao IBAMA. Determina que resolução do CONAMA definirá prazos para retirada gradual das sacolas plásticas proibidas do mercado, o que deve ocorrer no prazo máximo de 3 anos, a partir da vigência da lei. Estabelece que o descumprimento da lei acarretará as penalidades previstas nos artigos 56 e 72 da Lei nº 9.605, de 12 de fevereiro de 1998 (sanções penais e administrativas derivadas de condutas e atividades lesivas ao meio ambiente).","PROJETO DE LEI, SENADO, PROIBIÇÃO, FABRICAÇÃO, COMERCIALIZAÇÃO, DISTRIBUIÇÃO, UTILIZAÇÃO, SACOLA PLÁSTICA, EMBALAGEM, MATERIAL PLÁSTICO, SUBSTITUIÇÃO, MATERIAL, BIODEGRADÁVEL, PENALIDADE, ADVERTÊNCIA, NOTIFICAÇÃO, MULTA, INTERDIÇÃO, SUSPENSÃO, ALVARÁ.

","Senador Eduardo Braga (MDB/AM)","2011-06-09","2011-06-09",11,"NORMA_GERAL","Norma Geral",146,"Meio ambiente",84,"Social",NA,"","",NA,"33809634","Meio Ambiente","Meio Ambiente",1,"Meio Ambiente","Individual","-, PROIBIÇÃO, FABRICAÇÃO, COMERCIALIZAÇÃO, DISTRIB","Criação"
"10",434,434,100779,2011,"PLS 345/2011","Não","Altera a Lei nº 12.351, de 22 de dezembro de 2010, para dispor sobre os royalties e a receita da comercialização relativos ao regime de partilha de produção.","Altera a Lei nº 12351/2010 ¿ que dispõe sobre a exploração e a produção de petróleo, de gás natural e de outros hidrocarbonetos fluidos, sob o regime de partilha de produção, em áreas do pré-sal e em áreas estratégicas; cria o Fundo Social - FS e dispõe sobre sua estrutura e fontes de recursos; altera dispositivos da Lei no 9.478, de 6 de agosto de 1997 ¿ para determinar que os royalties devidos pelo contratado sob o regime de partilha de produção serão pagos mensalmente, em moeda nacional, a partir da data de início da produção comercial de cada campo, em montante correspondente a 15% da produção de petróleo ou gás natural;  estabelece que os critérios para o cálculo do valor dos royalties serão estabelecidos por decreto do Presidente da República, em função dos preços de mercado do petróleo, gás natural ou condensado, das especificações do produto e da localização do campo; a queima de gás em flares, em prejuízo de sua comercialização, e a perda de produto ocorrida sob a responsabilidade do concessionário serão incluídas no volume total da produção a ser computada para cálculo dos royalties devidos; discrimina critérios para a distribuição dos royalties oriundos da explicação de petróleo, gás natural e outros hidrocarbonetos fluidos extraídos de campos contratados após a vigência desta Lei sob o regime de partilha de produção;, distinguindo a lavra em terra, lagos, rios, ilhas fluviais e lacustres e a lavra em plataforma continental, mar territorial ou zona econômica exclusiva; estabelece novos critérios para a destinação da receita da União advinda da comercialização de petróleo, de gás natural e de outros hidrocarbonetos fluidos, obtida nos contratos de partilha de produção.

","ALTERAÇÃO, ACRÉSCIMO, NORMAS, DISPOSITIVOS, CRITÉRIOS, LEI DO PETRÓLEO, DIVISÃO, RATEIO, PRODUÇÃO, EXPLORAÇÃO, GÁS NATURAL, PETRÓLEO, ROYALTIES, PARTICIPAÇÃO, DISTRIBUIÇÃO, PERCENTAGEM, ESTADOS, PRODUTOR, UNIÃO FEDERAL, REPASSE, RECURSOS FINANCEIROS, MUNICÍPIOS, PAGAMENTO, MOEDA, CÁLCULO, PREÇO, EXECUTIVO, INCINERAÇÃO, PERDA, PARTILHA, REGIME, ILHA, RIO, LAGO, EMBARQUE, DESEMBARQUE, (ANP), (MME), FINANCIAMENTO, ESTUDO TÉCNICO, SERVIÇO, COMANDO MILITAR, MARINHA, CLIMA, FUNDO SOCIAL, COMBUSTÍVEL FÓSSIL, PLANEJAMENTO, EXPANSÃO, SISTEMA, RECURSOS ENERGÉTICOS, PESQUISA, PROJETO, TERRITÓRIO NACIONAL, (MCT), DESENVOLVIMENTO TECNOLÓGICO, APLICAÇÃO, INDÚSTRIA PETROQUÍMICA, (MMA), FUNDO ESPECIAL, (FPE), (FPM), APLICAÇÃO, (TCU), PRAZO, ARRECADAÇÃO, APURAÇÃO, DIVULGAÇÃO, COEFICIENTE INDIVIDUAL DE PARTICIPAÇÃO, LIBERAÇÃO.","Senador Francisco Dornelles (PP/RJ)","2011-06-16","2011-06-16",NA,"","",112,"Recursos hídricos",82,"Econômico",NA,"","",NA,"33809679","Recursos Hídricos","Meio Ambiente / Recursos Hídricos",1,"Recursos Hídricos","Individual","ALTERAÇÃO, ACRÉSCIMO, NORMAS, DISPOSITIVOS, CRITÉR","Alteração"
