"","AnoMateria","DataApresentacao","Autor","autor_un","Sexo","partido","uf"
"1",2011,"2011-02-15","Senador Clésio Andrade (PL/MG)","Clésio Andrade","M","PL","MG"
"2",2011,"2011-08-03","Senador Antonio Carlos Valadares (PSB/SE)","Antonio Carlos Valadares","M","PSB","SE"
"3",2011,"2011-08-31","Senador Jayme Campos (DEM/MT)","Jayme Campos","M","DEM","MT"
"4",2011,"2011-12-13","Senador Rodrigo Rollemberg (PSB/DF)","Rodrigo Rollemberg","M","PSB","DF"
"5",2011,"2011-04-20","Senadora Vanessa Grazziotin (PCdoB/AM)","Vanessa Grazziotin","F","PC","AM"
"6",2011,"2011-05-12","Senador Luiz Henrique (MDB/SC)","Luiz Henrique","M","MDB","SC"
"7",2011,"2011-12-20","Senador Blairo Maggi (PL/MT)","Blairo Maggi","M","PL","MT"
"8",2011,"2011-09-13","Senador Clésio Andrade (PL/MG)","Clésio Andrade","M","PL","MG"
"9",2011,"2011-06-09","Senador Eduardo Braga (MDB/AM)","Eduardo Braga","M","MDB","AM"
"10",2011,"2011-06-16","Senador Francisco Dornelles (PP/RJ)","Francisco Dornelles","M","PP","RJ"
"11",2011,"2011-02-08","Senador Flexa Ribeiro (PSDB/PA)","Flexa Ribeiro","M","PSDB","PA"
"12",2011,"2011-02-17","Senador Mozarildo Cavalcanti (PTB/RR)","Mozarildo Cavalcanti","M","PTB","RR"
"13",2011,"2011-04-07","Senador Cyro Miranda (PSDB/GO)","Cyro Miranda","M","PSDB","GO"
"14",2011,"2011-05-03","Senador Eduardo Braga (MDB/AM)","Eduardo Braga","M","MDB","AM"
"15",2011,"2011-05-24","Senador Romero Jucá (MDB/RR)","Romero Jucá","M","MDB","RR"
"16",2011,"2011-08-17","Senador Blairo Maggi (PL/MT)","Blairo Maggi","M","PL","MT"
"17",2011,"2011-08-31","Senador Eduardo Amorim (PSC/SE)","Eduardo Amorim","M","PSC","SE"
"18",2011,"2011-06-30","Senador Eduardo Suplicy (PT/SP)","Eduardo Suplicy","M","PT","SP"
"19",2011,"2011-07-06","Senadora Ana Rita (PT/ES)","Ana Rita","F","PT","ES"
"20",2011,"2011-02-03","Senador Magno Malta (PL/ES)","Magno Malta","M","PL","ES"
"21",2012,"2012-08-08","Senador Lindbergh Farias (PT/RJ)","Lindbergh Farias","M","PT","RJ"
