CodigoMateria,Autor,DataApresentacao,Subtemas,EmentaMateria,docs,docs_lemed,docs_clean,doc_id,topic,label_proposto_e1,review_reclass,interpretacao_LDA
100216,Senador Luiz Henrique (MDB/SC),2011-05-12,Meio Ambiente,Cria incentivo fiscal de redução do imposto de renda para fomentar projetos de florestamento ou reflorestamento em propriedade rural familiar.,cria incentivo fiscal  reducao  imposto  renda  fomentar projetos  florestamento  reflorestamento  propriedade rural familiar,criar incentivo fiscal reducao impor renda fomentar projeto florestamento reflorestamentar propriedade rural familiar, incentivo fiscal reducao impor renda fomentar projeto florestamento reflorestamentar propriedade rural familiar,6,1,Recursos Hídricos,Conservação da Natureza e Florestas,
105916,Senador Paulo Bauer (PSDB/SC),2012-05-31,Meio Ambiente,Permite a dedução do imposto de renda de valores doados a projetos e atividades de reciclagem.,permite  deducao  imposto  renda  valores doados  projetos  atividades  reciclagem,permitir deducao imposto renda valor doado projeto atividades reciclagem,permitir deducao imposto renda valor doado projeto atividades reciclagem,28,1,Recursos Hídricos,Sustentabilidade e Energias Renováveis,"(continuação da explicação CodigoMateria 105916): Da mesma forma, os projetos urbanos sustentáveis contém termos relativos a reciclagem, como ""reuso de águas residuais"", o que justifica a entrada deste outro PL no tema de recursos hidricos."
112744,Senador Wilder Morais (DEM/GO),2013-05-16,Meio Ambiente,Dispõe sobre a obrigatoriedade da instalação de sistemas de aproveitamento de água da chuva na construção de prédios públicos bem como sobre a utilização de telhados ambientalmente corretos.,dispoe sobre  obrigatoriedade  instalacao  sistemas  aproveitamento  agua  chuva  construcao  predios publicos bem  sobre  utilizacao  telhados ambientalmente corretos,dispoe sobre obrigatoriedade instalacao sistema aproveitamento aguar chuva construcao predio publicos bem sobre utilizacao telhado ambientalmente correto, obrigatoriedade instalacao sistema aproveitamento aguar chuva construcao predio publicos bem utilizacao telhado ambientalmente correto,47,1,Recursos Hídricos,,
119665,Senador Wilder Morais (DEM/GO),2015-02-10,Meio Ambiente,"Dispõe sobre a obrigatoriedade da implantação de sistemas de coleta, armazenagem e uso de águas pluviais e de reúso de águas residuais em edificações executadas com recursos da União.",dispoe sobre  obrigatoriedade  implantacao  sistemas  coleta armazenagem  uso  aguas pluviais   reuso  aguas residuais  edificacoes executadas  recursos  uniao,dispoe sobre obrigatoriedade implantacao sistema coleta armazenagir uso aguo pluvial reuso aguo residual edificacoe executar recurso uniao, obrigatoriedade implantacao sistema coleta armazenagir uso aguo pluvial reuso aguo residual edificacoe executar recurso uniao,121,1,Recursos Hídricos,,
121525,Senador Donizeti Nogueira (PT/TO),2015-06-01,Meio Ambiente,"Institui obrigatoriedade para as novas construções, residenciais, comerciais, e industriais, público ou privado, a inclusão no projeto técnico da obra, item referente a captação de água da chuva e seu reuso não potável e dá outras providências.",institui obrigatoriedade   novas construcoes residenciais comerciais  industriais publico  privado  inclusao  projeto tecnico  obra item referente  captacao  agua  chuva   reuso  potavel  da outras providencias,instituir obrigatoriedade novo construcoe residencial comercial industrial publico privado inclusao projeto tecnico obra itar referente captacao aguo chur reuso potavel NA de o outro providencia, obrigatoriedade novo construcoe residencial comercial industrial publico privado inclusao projeto tecnico obra itar referente captacao aguo chur reuso potavel de o ,124,1,Recursos Hídricos,,
119846,Senador Valdir Raupp (MDB/RO),2015-03-03,Meio Ambiente,"Dispõe sobre a proteção, a regeneração e a utilização da Floresta Amazônica, patrimônio nacional conforme o § 4º do art. 225 da Constituição Federal, e dá outras providências.",dispoe sobre  protecao  regeneracao   utilizacao  floresta amazonica patrimonio nacional conforme      art   constituicao federal  da outras providencias,dispoe sobre protecao regeneracao utilizacao $2flore amazonico patrimonio nacional conforme art constituicao federal NA de o outro providencia, protecao regeneracao utilizacao $2flore amazonico patrimonio nacional conforme constituicao federal de o ,130,1,Recursos Hídricos,Conservação da Natureza e Florestas,
121454,Senador Dário Berger (MDB/SC),2015-05-27,Meio Ambiente,"Dispõe sobre a obrigatoriedade de instalação de sistema de captação de energia solar e de sistema de captação, armazenamento e utilização de águas pluviais na construção de novos prédios públicos para a utilização em atividades que não necessitem de água potável.",dispoe sobre  obrigatoriedade  instalacao  sistema  captacao  energia solar   sistema  captacao armazenamento  utilizacao  aguas pluviais  construcao  novos predios publicos   utilizacao  atividades   necessitem  agua potavel,dispoe sobre obrigatoriedade instalacao sistema captacao energia solar sistema captacao armazenamento utilizacao agua pluvial construcao novo predio publicos utilizacao atividade necessitar agua potavel, obrigatoriedade instalacao sistema captacao energia solar sistema captacao armazenamento utilizacao agua pluvial construcao novo predio publicos utilizacao atividade necessitar agua potavel,135,1,Recursos Hídricos,,
125742,Senador Telmário Mota (PDT/RR),2016-05-16,Meio Ambiente,"Altera os arts. 47 e 51 da Lei nº 12.351, de 22 de dezembro de 2010, para direcionar parte das aplicações do Fundo Social para programas e projetos de desenvolvimento de energias renováveis.",altera  arts     lei n      dezembro    direcionar parte  aplicacoes  fundo social  programas  projetos  desenvolvimento  energias renovaveis,alterar arts lar n dezembro direcionar parte aplicacoe fundo social programa projeto desenvolvimentar energia renovavel, lar  direcionar parte aplicacoe fundo social programa projeto desenvolvimentar energia renovavel,139,1,Recursos Hídricos,Sustentabilidade e Energias Renováveis,"uma parte relevante dos PLs deste tópico tratam do reaproveitamento das águas pluviais, através de projetos urbanos sustenáveis que costumam estar relacionados também a sistemas de captação de energia solar (CodigoMateia: 121454). O que pode influenciado a entrada deste PL no tema de recursos hidricos."
124665,Senadora Ana Amélia (PP/RS),2016-02-02,Meio Ambiente,Isenta da Contribuição para o Financiamento da Seguridade Social (COFINS) e da Contribuição para os Programas de Integração Social e de Formação do Patrimônio do Servidor Público (PIS/PASEP) a receita das operações com produtos reciclados plásticos.,isenta  contribuicao   financiamento  seguridade social cofins   contribuicao   programas  integracao social   formacao  patrimonio  servidor publico pispasep  receita  operacoes  produtos reciclados plasticos,isentar contribuicao financiamento seguridade social cofim contribuicao programa integracao social formacao patrimonio servidor publico pispasep recazer operacoe produto reciclar plastico,isentar contribuicao financiamento seguridade social cofim contribuicao programa integracao social formacao patrimonio servidor publico pispasep recazer operacoe produto reciclar plastico,145,1,Recursos Hídricos,Resíduos Sólidos,
107084,Senador Pedro Taques (PDT/MT),2012-08-28,Política Fundiária e Reforma Agrária,"Dá nova redação ao art. 15-A e acrescenta-se § 2º ao art. 34, ambos do Decreto-Lei nº 3.365, de 21 de junho de 1941, para dispor sobre a fixação dos juros compensatórios devidos em decorrência das desapropriações por necessidade ou utilidade pública e interesse social, inclusive para fins de reforma agrária, bem como dispor sobre a indenização de área não registrada nas desapropriações por utilidade pública.",da nova redacao  art   acrescentase     art  ambos  decretolei n      junho    dispor sobre  fixacao  juros compensatorios devidos  decorrencia  desapropriacoes  necessidade  utilidade publica  interesse social inclusive  fins  reforma agraria bem  dispor sobre  indenizacao  area  registrada  desapropriacoes  utilidade publica,NA de o novo redacao art acrescentase art ambos decretolar n junho dispor sobre fixacao juro compensatorio dever decorrencia desapropriacoe necessidader utilidade publico interesse social inclusive fim reforma agrazer bem dispor sobre indenizacao areo registrar desapropriacoe utilidade publico, de o novo redacao acrescentase ambos decretolar   fixacao juro compensatorio dever decorrencia desapropriacoe necessidader utilidade publico interesse social inclusive fim reforma agrazer bem  indenizacao areo registrar desapropriacoe utilidade publico,23,1,Recursos Hídricos,Política Fundiária e Reforma Agrária,
